pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
2k2r,PF00307,CH,CH,Calponin homology (CH) domain,"IPR036872,IPR028433,IPR001715","CH domain superfamily,Parvin,Calponin homology domain",1.10.418.10,Mainly Alpha,Orthogonal Bundle,"Actin-binding Protein\, T-fimbrin; domain 1",Calponin-like domain,,,,,"GO:0007155,GO:0031532,GO:0003779","cell adhesion,actin cytoskeleton reorganization",actin binding,,,,,,"Q9NVD7,Q9NVD7-2","PARVA_HUMAN,PARVA_HUMAN",0.35,15760,,2.91,-1.0,,,,1
4tgf,,,,,,,2.10.25.10,Mainly Beta,Ribbon,Laminin,Laminin,,,,,,,,,Small proteins,"Knottins (small inhibitors\, toxins\, lectins)",EGF/Laminin,EGF-type module,"P01135,P01135-3,P01135-2,P01135-5,P01135-4","TGFA_HUMAN,TGFA_HUMAN,TGFA_HUMAN,TGFA_HUMAN,TGFA_HUMAN",0.36,,,2.52,-1.0,,,,1
1pet,,,,,"IPR002117,IPR036674,IPR010991","p53 tumour suppressor family,p53-like tetramerisation domain superfamily,p53\, tetramerisation domain",,,,,,,,,,"GO:0006355,GO:0051262,GO:0006915,GO:0003677,GO:0003700,GO:0005634","regulation of transcription\, DNA-templated,protein tetramerization,apoptotic process","DNA binding,DNA-binding transcription factor activity",nucleus,All alpha proteins,p53 tetramerization domain,p53 tetramerization domain,p53 tetramerization domain,"P04637,P04637-9,P04637-6,P04637-5,P04637-4,P04637-7,P04637-2,P04637-3,P04637-8","P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN,P53_HUMAN",0.08,,,3.54,-1.0,,,,1
1wz0,PF11976,Rad60-SLD,Ubiquitin,Ubiquitin-2 like Rad60 SUMO-like,"IPR029071,IPR022617,IPR000626","Ubiquitin-like domain superfamily,Rad60/SUMO-like domain,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,"GO:0016925,GO:0032436,GO:0005515,GO:0031625,GO:0003723,GO:0016605,GO:0005634,GO:0005654","protein sumoylation,positive regulation of proteasomal ubiquitin-dependent protein catabolic process","protein binding,ubiquitin protein ligase binding,RNA binding","PML body,nucleus,nucleoplasm",Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,"P61956,P61956-2","SUMO2_HUMAN,SUMO2_HUMAN",0.96,,,18.41,-1.0,,,,1
2n3j,,,,,"IPR008978,IPR001436,IPR002068,IPR037876","HSP20-like chaperone,Alpha crystallin/Heat shock protein,Alpha crystallin/Hsp20 domain,Heat shock protein beta-1\, ACD domain",2.60.40.790,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulin-like,,,,,,,,,,,,,P04792,HSPB1_HUMAN,0.47,25645,,0.95,-1.0,,,,1
2eoi,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type",IPR036236,Zinc finger C2H2 superfamily,3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,,,,,"Q14587,Q14587-2,Q14587-7,Q14587-6,Q14587-4,Q14587-3","ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN",0.03,,,4.95,-1.0,,,,1
2dib,PF00630,Filamin,E-set,Filamin/ABP280 repeat,"IPR001298,IPR017868,IPR029874,IPR013783,IPR014756","Filamin/ABP280 repeat,Filamin/ABP280 repeat-like,Filamin-B,Immunoglobulin-like fold,Immunoglobulin E-set",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,"GO:0030036,GO:0030154,GO:0003779","actin cytoskeleton organization,cell differentiation",actin binding,,All beta proteins,Immunoglobulin-like beta-sandwich,E set domains,Filamin repeat (rod domain),"O75369,O75369-4,O75369-5,O75369-9,O75369-8,O75369-3,O75369-6,O75369-7,O75369-2","FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN",0.04,,,16.58,-1.0,,,,1
1ddf,PF00531,Death,Death,Death domain,"IPR000488,IPR008063,IPR011029,IPR033998","Death domain,Fas receptor,Death-like domain superfamily,Fas receptor\, death domain",1.10.533.10,Mainly Alpha,Orthogonal Bundle,"Death Domain\, Fas","Death Domain\, Fas",,,,,"GO:0007165,GO:0006915,GO:0006955,GO:0004888,GO:0016020","signal transduction,apoptotic process,immune response",transmembrane signaling receptor activity,membrane,All alpha proteins,DEATH domain,DEATH domain,"DEATH domain\, DD","P25445,P25445-5,P25445-7,P25445-2,P25445-4,P25445-6,P25445-3","TNR6_HUMAN,TNR6_HUMAN,TNR6_HUMAN,TNR6_HUMAN,TNR6_HUMAN,TNR6_HUMAN,TNR6_HUMAN",0.38,,,1.55,-1.0,,,,1
2l60,,,,,IPR001955,Pancreatic hormone-like,6.10.250.900,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,"P10082,P10082-2","PYY_HUMAN,PYY_HUMAN",0.48,17291,,2.52,-1.0,,,,1
2k4a,PF00167,FGF,Trefoil,Fibroblast growth factor,"IPR028210,IPR002209,IPR008996","Fibroblast growth factor 1,Fibroblast growth factor family,Cytokine IL1/FGF",2.80.10.50,Mainly Beta,Trefoil,"Trefoil (Acidic Fibroblast Growth Factor\, subunit A)","Trefoil (Acidic Fibroblast Growth Factor\, subunit A)",,,,,"GO:0008543,GO:0005104,GO:0008083,GO:0005576",fibroblast growth factor receptor signaling pathway,"fibroblast growth factor receptor binding,growth factor activity",extracellular region,,,,,"P05230,P05230-2","FGF1_HUMAN,FGF1_HUMAN",0.86,15794,,4.34,-1.0,,,,2
2k4a,PF00168,C2,C2,C2 domain,"IPR035892,IPR000008,IPR015428,IPR001565","C2 domain superfamily,C2 domain,Synaptotagmin 1,Synaptotagmin",2.60.40.150,Mainly Beta,Sandwich,Immunoglobulin-like,C2 domain,,,,,"GO:0007269,GO:0005544,GO:0016020,GO:0008021",neurotransmitter secretion,calcium-dependent phospholipid binding,"membrane,synaptic vesicle",,,,,P21579,SYT1_HUMAN,0.3,15794,,4.34,-1.0,,,,1
2kb8,,,,,"IPR000443,IPR021117,IPR021116,IPR001693","Pro-islet amyloid polypeptide,Calcitonin-like,Calcitonin/adrenomedullin,Calcitonin peptide-like",,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P10997,IAPP_HUMAN,0.55,,,1.52,-1.0,,,,1
1v62,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR030029,IPR001478","PDZ superfamily,Glutamate receptor-interacting protein 2,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,GO:0030159,,receptor signaling complex adaptor activity,,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q9C0E4,Q9C0E4-3,Q9C0E4-2","GRIP2_HUMAN,GRIP2_HUMAN,GRIP2_HUMAN",0.1,,,10.43,-1.0,,,,1
1kyj,,,,,,,,,,,,,,,,,,,,,,,,,,,16963,,55.24,-1.0,,,,1
2epc,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,,,,,P17041,ZNF32_HUMAN,0.11,,,81.65,-1.0,,,,1
1qnk,PF00048,IL8,,"Small cytokines (intecrine/chemokine)\, interleukin-8 like","IPR033899,IPR001811,IPR036048,IPR001089","CXC Chemokine domain,Chemokine interleukin-8-like domain,Chemokine interleukin-8-like superfamily,CXC chemokine",2.40.50.40,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)","OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",,,,,"GO:0030593,GO:0061844,GO:0030595,GO:0071222,GO:0006935,GO:0006954,GO:0019221,GO:0070098,GO:0007186,GO:0006955,GO:0002237,GO:0006952,GO:0005515,GO:0005125,GO:0045236,GO:0008009,GO:0005615,GO:0005576","neutrophil chemotaxis,antimicrobial humoral immune response mediated by antimicrobial peptide,leukocyte chemotaxis,cellular response to lipopolysaccharide,chemotaxis,inflammatory response,cytokine-mediated signaling pathway,chemokine-mediated signaling pathway,G protein-coupled receptor signaling pathway,immune response,response to molecule of bacterial origin,defense response","protein binding,cytokine activity,CXCR chemokine receptor binding,chemokine activity","extracellular space,extracellular region",Alpha and beta proteins (a+b),IL8-like,Interleukin 8-like chemokines,Interleukin 8-like chemokines,P19875,CXCL2_HUMAN,0.95,,,3.2,-1.0,,,,1
2ldu,PF00447,HSF_DNA-bind,HTH,HSF-type DNA-binding,"IPR027725,IPR036390,IPR000232,IPR036388","Heat shock transcription factor family,Winged helix DNA-binding domain superfamily,Heat shock factor (HSF)-type\, DNA-binding,Winged helix-like DNA-binding domain superfamily",1.10.10.10,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain,,,,,"GO:0006355,GO:0003700,GO:0043565,GO:0042025","regulation of transcription\, DNA-templated","DNA-binding transcription factor activity,sequence-specific DNA binding",host cell nucleus,,,,,"Q00613,Q00613-2","HSF1_HUMAN,HSF1_HUMAN",0.22,17683,,59.33,-1.0,,,,1
2lmd,PF05044,HPD,HTH,Homeo-prospero domain,"IPR037131,IPR023082,IPR039350,IPR009057","Homeo-prospero domain superfamily,Homeo-prospero domain,Prospero homeodomain family,Homeobox-like domain superfamily",1.10.10.500,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeo-prospero domain,,,,,"GO:0006355,GO:0003677","regulation of transcription\, DNA-templated",DNA binding,,,,,,Q92786,PROX1_HUMAN,0.22,18112,,12.54,-1.0,,,,1
2edi,PF00179,UQ_con,UBC,Ubiquitin-conjugating enzyme,"IPR016135,IPR000608","Ubiquitin-conjugating enzyme/RWD-like,Ubiquitin-conjugating enzyme E2",3.10.110.10,Alpha Beta,Roll,Ubiquitin Conjugating Enzyme,Ubiquitin Conjugating Enzyme,2.3.2.32,Cullin-RING-type E3 NEDD8 transferase,S-[NEDD8-protein]-yl-[E2 NEDD8-conjugating enzyme]-L-cysteine:[cullin] [NEDD8-protein] transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,Cullin-RING-type E3 NEDD8 transferase",,,,,,,,,"Q969M7,Q969M7-3,Q969M7-7,Q969M7-4,Q969M7-2,Q969M7-5,Q969M7-6","UBE2F_HUMAN,UBE2F_HUMAN,UBE2F_HUMAN,UBE2F_HUMAN,UBE2F_HUMAN,UBE2F_HUMAN,UBE2F_HUMAN",0.86,,,12.76,-1.0,,,,1
2k1a,,,,,,,1.20.5.930,Mainly Alpha,Up-down Bundle,Single alpha-helices involved in coiled-coils or other helix-helix interfaces,Bicelle-embedded integrin alpha(iib) transmembrane segment,,,,,,,,,,,,,"P08514,P08514-2,P08514-3","ITA2B_HUMAN,ITA2B_HUMAN,ITA2B_HUMAN",0.04,,,13.44,-1.0,,,,1
2mbg,PF00620,RhoGAP,GAP,RhoGAP domain,"IPR039767,IPR000198,IPR008936","RalA-binding protein 1,Rho GTPase-activating protein domain,Rho GTPase activation protein","1.10.555.10,1.20.58.90","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Up-down Bundle","Phosphatidylinositol 3-kinase; Chain A,Methane Monooxygenase Hydroxylase; Chain G\, domain 1","Rho GTPase activation protein,Methane Monooxygenase Hydroxylase; Chain G\, domain 1",,,,,"GO:0007165,GO:0007264,GO:0005096,GO:0017160","signal transduction,small GTPase mediated signal transduction","GTPase activator activity,Ral GTPase binding",,,,,,Q15311,RBP1_HUMAN,0.4,17608,,16.3,-1.0,,,,1
2lw7,"PF03129,PF00458","HGTP_anticodon,WHEP-TRS","IIaaRS-ABD,S15_NS1","Anticodon binding domain,WHEP-TRS domain","IPR036621,IPR000738,IPR004154,IPR033656,IPR009068","Anticodon-binding domain superfamily,WHEP-TRS domain,Anticodon-binding,Histidyl-anticodon-binding,S15/NS1\, RNA-binding","1.10.287.10,3.40.50.800","Mainly Alpha,Alpha Beta","Orthogonal Bundle,3-Layer(aba) Sandwich","Helix Hairpins,Rossmann fold","S15/NS1\, RNA-binding,Anticodon-binding domain",6.1.1.21,Histidine--tRNA ligase,L-histidine:tRNA(His) ligase (AMP-forming),"Ligases,Forming carbon-oxygen bonds,Ligases forming aminoacyl-tRNA and related compounds,Histidine--tRNA ligase","GO:0006418,GO:0004812,GO:0005524",tRNA aminoacylation for protein translation,"aminoacyl-tRNA ligase activity,ATP binding",,,,,,"P12081,P12081-3,P12081-2,P12081-4","HARS1_HUMAN,HARS1_HUMAN,HARS1_HUMAN,HARS1_HUMAN",0.33,18612,,2.15,-1.0,,,,1
2yse,PF00397,WW,WW,WW domain,"IPR001202,IPR036020,IPR030033","WW domain,WW domain superfamily,Membrane-associated guanylate kinase\, WW and PDZ domain-containing protein 1",,,,,,,,,,"GO:0060090,GO:0005923",,molecular adaptor activity,bicellular tight junction,,,,,"Q96QZ7,Q96QZ7-7,Q96QZ7-4,Q96QZ7-2,Q96QZ7-5,Q96QZ7-3,Q96QZ7-6","MAGI1_HUMAN,MAGI1_HUMAN,MAGI1_HUMAN,MAGI1_HUMAN,MAGI1_HUMAN,MAGI1_HUMAN,MAGI1_HUMAN",0.03,,,13.19,-1.0,,,,1
2k1r,PF00403,HMA,,Heavy-metal-associated domain,"IPR036163,IPR006122,IPR006121","Heavy metal-associated domain superfamily,Heavy metal-associated domain\, copper ion-binding,Heavy metal-associated domain\, HMA",3.30.70.100,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,Alpha-Beta Plaits,7.2.2.8,P-type Cu(+) transporter,"ATP phosphohydrolase (P-type\, Cu(+)-exporting)","Translocases,Catalyzing the translocation of inorganic cations,Linked to the hydrolysis of a nucleoside triphosphate,P-type Cu(+) transporter","GO:0030001,GO:0046872,GO:0005507",metal ion transport,"metal ion binding,copper ion binding",,,,,,"Q04656,Q04656-6,Q04656-2,Q04656-4,Q04656-3,Q04656-5","ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN",0.05,6266,,30.17,-1.0,,,,1
2lzl,PF18123,FGFR3_TM,,Fibroblast growth factor receptor 3 transmembrane domain,IPR041159,"Fibroblast growth factor receptor\, transmembrane domain",6.10.250.1740,,,,,2.7.10.1,Receptor protein-tyrosine kinase,ATP:[protein]-L-tyrosine O-phosphotransferase (receptor-type),"Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases,Receptor protein-tyrosine kinase",,,,,,,,,"P22607,P22607-4,P22607-2,P22607-3","FGFR3_HUMAN,FGFR3_HUMAN,FGFR3_HUMAN,FGFR3_HUMAN",0.05,18763,,41.81,-1.0,,,,1
2ep8,PF16589,BRCT_2,BRCT-like,"BRCT domain\, a BRCA1 C-terminus domain","IPR010613,IPR001357,IPR036420","Pescadillo,BRCT domain,BRCT domain superfamily",3.40.50.10190,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,BRCT domain,,,,,"GO:0042254,GO:0005730",ribosome biogenesis,,nucleolus,,,,,"O00541,O00541-2","PESC_HUMAN,PESC_HUMAN",0.16,,,23.88,-1.0,,,,1
2n77,PF13499,EF-hand_7,EF_hand,EF-hand domain pair,"IPR011992,IPR002048,IPR039030","EF-hand domain pair,EF-hand domain,Calmodulin",,,,,,,,,,"GO:0019722,GO:0005509",calcium-mediated signaling,calcium ion binding,,,,,,P0DP23,CALM1_HUMAN,0.49,25796,,12.25,-1.0,,,,1
2n77,,,,,IPR033236,Calmodulin regulator protein PCP4,,,,,,,,,,"GO:0045666,GO:0099004,GO:0005509,GO:0005515,GO:0005516,GO:0005634,GO:0032991,GO:0005829","positive regulation of neuron differentiation,calmodulin dependent kinase signaling pathway","calcium ion binding,protein binding,calmodulin binding","nucleus,protein-containing complex,cytosol",,,,,P48539,PCP4_HUMAN,0.97,25796,,12.25,-1.0,,,,2
2yuz,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,"Q00872,Q00872-6,Q00872-7,Q00872-9,Q00872-10,Q00872-5,Q00872-4,Q00872-8,Q00872-3,Q00872-2","MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN",0.08,,,19.23,-1.0,,,,1
1b2i,PF00051,Kringle,Kringle,Kringle domain,"IPR038178,IPR013806,IPR000001","Kringle superfamily,Kringle-like fold,Kringle",2.40.20.10,Mainly Beta,Beta Barrel,Plasminogen Kringle 4,Plasminogen Kringle 4,3.4.21.7,Plasmin,-,"Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,Plasmin",,,,,Small proteins,Kringle-like,Kringle-like,Kringle modules,P00747,PLMN_HUMAN,0.1,,,5.91,-1.0,,,,1
2m1t,,,,,,,,,,,,,,,,,,,,,,,,P07988,PSPB_HUMAN,0.06,18879,,4.41,-1.0,,,,1
1x2n,PF05920,Homeobox_KN,HTH,Homeobox KN domain,"IPR008422,IPR001356,IPR009057","Homeobox KN domain,Homeobox domain,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,"GO:0006355,GO:0003677","regulation of transcription\, DNA-templated",DNA binding,,All alpha proteins,DNA/RNA-binding 3-helical bundle,Homeodomain-like,Homeodomain,"P55347,P55347-2","PKNX1_HUMAN,PKNX1_HUMAN",0.14,,,16.4,-1.0,,,,1
2lej,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",1.10.790.10,Mainly Alpha,Orthogonal Bundle,Major Prion Protein,"Prion/Doppel protein\, beta-ribbon domain",,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,,,,,P04156,PRIO_HUMAN,0.61,17714,,16.58,-1.0,,,,1
1fsb,,,,,IPR000742,EGF-like domain,2.10.25.10,Mainly Beta,Ribbon,Laminin,Laminin,,,,,,,,,Small proteins,"Knottins (small inhibitors\, toxins\, lectins)",EGF/Laminin,EGF-type module,P16109,LYAM3_HUMAN,0.05,,,3.05,-1.0,,,,1
2lgk,PF00628,PHD,zf-FYVE-PHD,PHD-finger,"IPR001965,IPR011011,IPR019787","Zinc finger\, PHD-type,Zinc finger\, FYVE/PHD-type,Zinc finger\, PHD-finger",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,"Q96T88,Q96T88-2","UHRF1_HUMAN,UHRF1_HUMAN",0.09,17812,,11.27,-1.0,,,,1
2lb2,,,,,,,,,,,,,,,,,,,,,,,,"P84022,P84022-4,P84022-2,P84022-3","SMAD3_HUMAN,SMAD3_HUMAN,SMAD3_HUMAN,SMAD3_HUMAN",0.03,17544,,5.62,-1.0,,,,2
2d9j,PF00615,RGS,RGS,Regulator of G protein signaling domain,"IPR036305,IPR016137","RGS domain superfamily,RGS domain","1.10.167.10,1.10.196.10","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Regulator of G-protein Signalling 4; domain 2,Regulator of G-protein Signalling 4; domain 1","Regulator of G-protein Signalling 4\, domain 2,Regulator of G-protein Signalling 4; domain 1",,,,,,,,,,,,,"P49802,P49802-2,P49802-5,P49802-3,P49802-4","RGS7_HUMAN,RGS7_HUMAN,RGS7_HUMAN,RGS7_HUMAN,RGS7_HUMAN",0.25,,,12.61,-1.0,,,,1
2pon,"PF02180,PF00452","BH4,Bcl-2",BCLiA,"Bcl-2 homology region 4,Apoptosis regulator proteins\, Bcl-2 family","IPR026298,IPR013279,IPR036834,IPR003093","Blc2 family,Apoptosis regulator\, Bcl-X,Blc2-like superfamily,Apoptosis regulator\, Bcl-2 protein\, BH4",1.10.437.10,Mainly Alpha,Orthogonal Bundle,Apoptosis Regulator Bcl-x,Blc2-like,,,,,GO:0042981,regulation of apoptotic process,,,Membrane and cell surface proteins and peptides,Toxins' membrane translocation domains,Bcl-2 inhibitors of programmed cell death,Bcl-2 inhibitors of programmed cell death,"Q07817,Q07817-3,Q07817-2","B2CL1_HUMAN,B2CL1_HUMAN,B2CL1_HUMAN",0.67,,,4.35,-1.0,,,,2
6qax,,,,,,,,,,,,,,,,,,,,,,,,,,,34340,,2.02,-1.0,,,,1
6cui,PF17035,BET,BET,Bromodomain extra-terminal - transcription regulation,"IPR038336,IPR027353","NET domain superfamily,NET domain",,,,,,,,,,,,,,,,,,"P25440,P25440-3,P25440-4,P25440-2","BRD2_HUMAN,BRD2_HUMAN,BRD2_HUMAN,BRD2_HUMAN",0.16,30444,,47.52,-1.0,,,,1
6ax5,,,,,IPR006939,SNF5/SMARCB1/INI1,,,,,,,,,,"GO:0006338,GO:0000228",chromatin remodeling,,nuclear chromosome,,,,,"Q12824,Q12824-2","SNF5_HUMAN,SNF5_HUMAN",0.22,27243,,59.92,-1.0,,,,1
1cmo,,,,,"IPR012346,IPR008967,IPR013524,IPR000040","p53/RUNT-type transcription factor\, DNA-binding domain superfamily,p53-like transcription factor\, DNA-binding,Runt domain,Acute myeloid leukemia 1 protein (AML1)/Runt",2.60.40.720,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulin-like,,,,,"GO:0006355,GO:0005524,GO:0003700,GO:0003677,GO:0005634","regulation of transcription\, DNA-templated","ATP binding,DNA-binding transcription factor activity,DNA binding",nucleus,All beta proteins,Common fold of diphtheria toxin/transcription factors/cytochrome f,p53-like transcription factors,RUNT domain,"Q01196,Q01196-5,Q01196-9,Q01196-6,Q01196-11,Q01196-10,Q01196-3,Q01196-7,Q01196-8,Q01196-4,Q01196-2","RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN,RUNX1_HUMAN",0.28,,,6.84,-1.0,,,,1
2ma2,PF13202,EF-hand_5,EF_hand,EF hand,"IPR011992,IPR002048","EF-hand domain pair,EF-hand domain",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,,,,,"Q7LDG7,Q7LDG7-4,Q7LDG7-3,Q7LDG7-2","GRP2_HUMAN,GRP2_HUMAN,GRP2_HUMAN,GRP2_HUMAN",0.13,19319,,23.13,-1.0,,,,1
2ctd,,,,,IPR036236,Zinc finger C2H2 superfamily,3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2","Q96ME7,Q96ME7-2,Q96ME7-3","ZN512_HUMAN,ZN512_HUMAN,ZN512_HUMAN",0.15,,,21.66,-1.0,,,,1
2lk1,PF00641,zf-RanBP,Zn_Beta_Ribbon,Zn-finger in Ran binding protein and others,"IPR036443,IPR033094,IPR001876","Zinc finger\, RanBP2-type superfamily,RNA-binding protein 5,Zinc finger\, RanBP2-type",,,,,,,,,,"GO:0000381,GO:0042981,GO:0008380,GO:0005681","regulation of alternative mRNA splicing\, via spliceosome,regulation of apoptotic process,RNA splicing",,spliceosomal complex,,,,,P52756,RBM5_HUMAN,0.04,17970,,12.13,-1.0,,,,1
6cpi,PF07653,SH3_2,SH3,Variant SH3 domain,"IPR001452,IPR036028","SH3 domain,SH3-like domain superfamily",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,,,,,,,,,"Q9Y566,Q9Y566-3","SHAN1_HUMAN,SHAN1_HUMAN",0.03,30436,,6.22,-1.0,,,,1
2coc,,,,,"IPR001849,IPR011993,IPR035941","Pleckstrin homology domain,PH-like domain superfamily,FGD1-4\, C-terminal PH domain",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,,,,,All beta proteins,PH domain-like barrel,PH domain-like,Pleckstrin-homology domain (PH domain),"Q5JSP0,Q5JSP0-2,Q5JSP0-3","FGD3_HUMAN,FGD3_HUMAN,FGD3_HUMAN",0.14,,,19.13,-1.0,,,,1
1x63,PF00412,LIM,Zn_Beta_Ribbon,LIM domain,"IPR042997,IPR001781","Four and a half LIM domains protein 1,Zinc finger\, LIM-type",2.10.110.10,Mainly Beta,Ribbon,Cysteine Rich Protein,Cysteine Rich Protein,,,,,GO:0007517,muscle organ development,,,Small proteins,Glucocorticoid receptor-like (DNA-binding domain),Glucocorticoid receptor-like (DNA-binding domain),LIM domain,"Q13642,Q13642-1,Q13642-4,Q13642-3,Q13642-5","FHL1_HUMAN,FHL1_HUMAN,FHL1_HUMAN,FHL1_HUMAN,FHL1_HUMAN",0.21,,,6.53,-1.0,,,,1
